comment,date_received,Property - user_id,Property - order_id
Bilder im Warenkorb leider nicht mehr bearbeitbar!,2024-1-8 uhr,ausgedacht:42,42
Nach Produktauswahl ist der Bearbeitungsweg nicht eindeutig,2024-1-8 uhr,ausgedacht:84,84
Die Kalendererstellung funktioniert soweit ganz gut. Leider hängt sie zwischendrin manchmal so daass man Angst hat alles zu verlieren aber hat dann doch alles geklappt.,2024-1-8 uhr,ausgedacht:126,126
Foto hochladen schwierig,2024-1-9 uhr,ausgedacht:168,168
keine Übertragung Daten von Website zur Software oder App möglich,2024-1-9 uhr,ausgedacht:210,210
FOTOS VERSCHIEBEN BEIM FOTOBUCH NICHT GEFUNDEN,2024-1-9 uhr,ausgedacht:252,252
Die Webseite ist während der Gestaltung des Fotobuches mehrmals zusammengebrochen,2024-1-9 uhr,ausgedacht:294,294
Das Programm bei der Kalendererstellung lief sehr hacklig und nicht zeitnah. Ich weiß aber nicht ob es nicht auch an unserer Leitung liegt. Beim erstellen eines Fotobuchs mit 160 Seiten und eines Kalenders im November hatte ich keine Probleme. Ich bilde mir auch ein dass das Programm etwas anders war weil zB die Kalendergrafik nicht mehr aufrufbar war so wie ich sie 2022 bestellt habe.,2024-1-9 uhr,ausgedacht:336,336
Ich musste mehrfach die Bilder hochladen da sie immer wieder gelöscht wurden.,2024-1-9 uhr,ausgedacht:378,378
ich konnte das Feld Gutschein nicht finden,2024-1-10 uhr,ausgedacht:420,420
Seite ist mehrmals abgestürzt und ich habe viel Zeit gebraucht um meine Fotos mehrmals auszuwählen und hochzuladen,2024-1-10 uhr,ausgedacht:462,462
Fotos werden schnell hochgeladen und sind prima in der Software zu verarbeiten. Klasse!,2024-1-8 uhr,ausgedacht:504,504
Gute Qualität schnelle Lieferung einfache und intuitive Nutzung des Programms,2024-1-8 uhr,ausgedacht:546,546
Gute bearbeitung möglich sehr gute Produkt-Qualität !,2024-1-9 uhr,ausgedacht:588,588
einfache Handhabung des Bestellvorganges lediglich Angaben zur Qualität des Druckes (Glanz/Matt) fehlen.,2024-1-9 uhr,ausgedacht:630,630
einfache Bedienung und Bildkontrolle,2024-1-8 uhr,ausgedacht:672,672
Genauso fix und übersichtlich wie in der App für kleine Projekte vollkommen ausreichend,2024-1-8 uhr,ausgedacht:714,714
Nicht alle Kalender Jahresunabhängig planbar,2024-1-8 uhr,ausgedacht:756,756
Einfache Gestaltung und gute Erklärungen bei Problemen,2024-1-8 uhr,ausgedacht:798,798
schwierig den Anfang zu finden.Müsst einfacher formuliert werden.,2024-1-8 uhr,ausgedacht:840,840
War alles sehr einfach zu handhaben. Sehr schön,2024-1-8 uhr,ausgedacht:882,882
Sehr übersichtlich leicht zu bedienen transparente Kostenangaben Angabe von voraussichtlichem Liefertermin ingesamt sehr Nutzerfreundlich,2024-1-8 uhr,ausgedacht:924,924
Sehr übersichtlich - gute Bearbeitungsmöglichkeiten,2024-1-8 uhr,ausgedacht:966,966
Unkomplizierte Bedienung,2024-1-8 uhr,ausgedacht:1008,1008
Schnelles Bestellen der Fotos möglich. Einfacher Aufbau der Seite!,2024-1-8 uhr,ausgedacht:1050,1050
der Editor könnte eine Option haben um das Bild an den Ausschnitt anzupassen,2024-1-8 uhr,ausgedacht:1092,1092
Ich hatte den Kalender in der offline Fotowelt vorbereit. Wegen Versands ins Ausland bin ich zur Webanwendung gewechselt. Leider war das Bildformat und die Kalenderleiste etwas anders sodass einige Fotos nicht so gut passten.,2024-1-8 uhr,ausgedacht:1134,1134
Gute Qualität schnelle Lieferung einfache und intuitive Nutzung des Programms,2024-1-8 uhr,ausgedacht:1176,1176
Easy zu bedienen einfach immer wieder gut!,2024-1-9 uhr,ausgedacht:1218,1218
ab und zu etwas unübersichtlich ... zB. bei der Bestellung des Vorjahreskalenders mit aktueller Datumsleiste,2024-1-9 uhr,ausgedacht:1260,1260
einfache Bedienung,2024-1-9 uhr,ausgedacht:1302,1302
Gute Gestaltungsmöglichkeiten,2024-1-9 uhr,ausgedacht:1344,1344
Verständlich und klar strukturiert,2024-1-9 uhr,ausgedacht:1386,1386
super einfach und schnell,2024-1-9 uhr,ausgedacht:1428,1428
Es ist etwas umständlich die Menge anzupassen...,2024-1-9 uhr,ausgedacht:1470,1470
Die Aufteilung der Fotos beim Layout der Kalender könnten flexibler sein.,2024-1-9 uhr,ausgedacht:1512,1512
Sauber und Schnell zu verstehen.,2024-1-9 uhr,ausgedacht:1554,1554
sehr übersichtlich und leicht zu bedienen und natürlich optisch ansprechend,2024-1-10 uhr,ausgedacht:1596,1596
Sehr einfache Bedienung; kleines Manko dass keine Emojis in den Textfeldern eingefügt bzw. erkannt werden können,2024-1-10 uhr,ausgedacht:1638,1638
einfache Menüdhrung,2024-1-10 uhr,ausgedacht:1680,1680
Die Layoutgestaltung ist auch für mich bei meiner 30 jährigen Erfahrung zu kompliziert!!!! Mehr KI bitte!!!,2024-1-10 uhr,ausgedacht:1722,1722
übersichtlich,2024-1-10 uhr,ausgedacht:1764,1764
Übersichtlich. Man muss nicht lange suchen um das benögte Produkt zu finden. Bestellung verläuft sehr flott,2024-1-10 uhr,ausgedacht:1806,1806
Einfache Bedienung,2024-1-10 uhr,ausgedacht:1848,1848
einfach und verständlich,2024-1-10 uhr,ausgedacht:1890,1890
Intuitiv einfach und übersichtlich! :-),2024-1-10 uhr,ausgedacht:1932,1932
insgesamt okay! Leider habe ich einige Features zur Bearbeitung von Fotos (Konvertieren in SW Verkleinern…) nicht gefunden…,2024-1-10 uhr,ausgedacht:1974,1974
Sehr praktisch und übersichtlich,2024-1-10 uhr,ausgedacht:2016,2016
Top Bestellvorgang!,2024-1-8 uhr,ausgedacht:2058,2058
leider gibt es keine Möglichkeit meinen Gutschein einzulösen !!,2024-1-8 uhr,ausgedacht:2100,2100
Schnelle unkomplizierte Bestellung!!,2024-1-8 uhr,ausgedacht:2142,2142
Gute Qualität schnelle Lieferung einfache und intuitive Nutzung des Programms,2024-1-8 uhr,ausgedacht:2184,2184
wie immer - einfach kompetent perfekt,2024-1-9 uhr,ausgedacht:2226,2226
Super Service Dankeschön 👍,2024-1-9 uhr,ausgedacht:2268,2268
nette menschen  hilfe sofort toller service einfach toll,2024-1-10 uhr,ausgedacht:2310,2310
Bestellung ging zügig,2024-1-10 uhr,ausgedacht:2352,2352
Versandkosten unangemessen...,2024-1-9 uhr,ausgedacht:2394,2394
:),2024-1-8 uhr,ausgedacht:2436,2436
Alles bestens,2024-1-8 uhr,ausgedacht:2478,2478
Ich möchte es einfach ausprobieren.,2024-1-9 uhr,ausgedacht:2520,2520
Unkompliziert,2024-1-9 uhr,ausgedacht:2562,2562
Leichte Genrauchsanweisung,2024-1-9 uhr,ausgedacht:2604,2604
Übersicht,2024-1-9 uhr,ausgedacht:2646,2646
bei der Bestellung wurde im Warenkorb nur ein Bild angezeigt aber 61 Abzüge,2024-1-9 uhr,ausgedacht:2688,2688
Weiter so :-),2024-1-9 uhr,ausgedacht:2730,2730
Einfach Gut,2024-1-10 uhr,ausgedacht:2772,2772
funktioniert immer,2024-1-10 uhr,ausgedacht:2814,2814
Spontan und Zufriedenheit,2024-1-10 uhr,ausgedacht:2856,2856
